"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"@boracmm hai mamah dedeh curhat dong",FALSE,0,"boracmm","2020-04-15 08:38:37",FALSE,"1250339823736328192","1250342753231179776","1246298910592655360","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","jimynpark",0,FALSE,FALSE,NA,NA
"RT @jastairvine: Aku tuh punya kedai kopi kecil-kecilan, tepat di halaman depan toko ku.

Tadi subuh trailler nya dibobol, alhasil mesin pr…",FALSE,0,NA,"2020-04-15 08:38:35",FALSE,NA,"1250342747078156288",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ifanucuyyy",136,TRUE,FALSE,NA,NA
"Buat daily convo aja typing aku emg udah kayak cerpen, jadi ya apalagi pas lagi curhat? WKWK. 😥 Engga tau sih, cm a… https://t.co/thhCMvEkNJ",FALSE,0,NA,"2020-04-15 08:38:23",TRUE,NA,"1250342696931094528",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","choiejisuc",0,FALSE,FALSE,NA,NA
"Banyak yg mengekspresikan kekecewaan lewat curhat, lewat mulut, lewat tweet, dan banyak juga yg lewat air mata. Mungkin karna sudah terlalu.",FALSE,0,NA,"2020-04-15 08:37:51",FALSE,NA,"1250342560129626112",NA,"<a href=""http://twittbot.net/"" rel=""nofollow"">twittbot.net</a>","SekedarPerasaan",0,FALSE,FALSE,NA,NA
"@AdekaindrianiS idih ngapa jd curhat wkwkwk",FALSE,0,"AdekaindrianiS","2020-04-15 08:37:50",FALSE,"1250341813979774976","1250342558854569984","579628718","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ZulfianaAski",0,FALSE,FALSE,NA,NA
"Maaf y semenjak gabung di twitter gua banyakan curhat+sambat",FALSE,0,NA,"2020-04-15 08:37:23",FALSE,NA,"1250342444786311168",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","funyach",0,FALSE,FALSE,NA,NA
"@nyeokubahagia Biar ngerasa dia
Nia kmrin curhat ke aku, barangnya ga jelas dimana terus belum di refund atau dipes… https://t.co/83j9lYiZBB",FALSE,0,"nyeokubahagia","2020-04-15 08:37:18",TRUE,"1250341568948527104","1250342420920721408","1199256648260276224","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","mabujinhyuk",0,FALSE,FALSE,NA,NA
"@rougecherrie Iya emang. Gw kalo dimaki2 kadang gw lawan. Gw gatahan banget cuy didikte ama dia kayak anak bocah #curhat",FALSE,0,"rougecherrie","2020-04-15 08:37:13",FALSE,"1250113881948581888","1250342400733532160","2935765458","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","sitethepadang",0,FALSE,FALSE,NA,NA
"@queenniss ih curhat ya kamooo",FALSE,0,"queenniss","2020-04-15 08:37:08",FALSE,"1250099927117520896","1250342379694874624","3269970014","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","anereev",0,FALSE,FALSE,NA,NA
"RT @Mr_703n4_______: Kena PHK dan Dikejar Tukang Kredit saat Corona? Curhat Saja ke GP Ansor

Curhat donk serrrr... 🙊 https://t.co/cA4IpJmg…",FALSE,0,NA,"2020-04-15 08:36:55",FALSE,NA,"1250342325185703936",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Arianto10427511",144,TRUE,FALSE,NA,NA
